draw,status,binding_bounds,urea_export
131,OPTIMAL,v2:upper,178.6265487926726
132,OPTIMAL,v1:upper,495.24306255377
133,OPTIMAL,v2:upper,49.01822235892201
134,OPTIMAL,v2:upper,279.8272705371289
135,OPTIMAL,v2:upper,55.984349219911735
136,OPTIMAL,b1:lower;b2:lower;b3:upper;b4:upper;b5:lower;b6:upper;b7:upper;b8:upper;b14:lower,1000.0
137,OPTIMAL,v2:upper,37.473380436130455
138,OPTIMAL,v2:upper,34.70925078498508
139,OPTIMAL,v2:upper,68.22378392150716
140,OPTIMAL,v2:upper,131.10404602889932
141,OPTIMAL,v2:upper,284.1722602912884
142,OPTIMAL,v2:upper,231.1915724816995
143,OPTIMAL,v2:upper,72.12139564358357
144,OPTIMAL,v2:upper,72.85596790546035
145,OPTIMAL,v2:upper,41.196943621538345
146,OPTIMAL,v2:upper,79.86772850638773
147,OPTIMAL,v2:upper,159.9167120402622
148,OPTIMAL,v2:upper,227.11594375330287
149,OPTIMAL,v2:upper,71.3002745193882
150,OPTIMAL,v2:upper,138.00668591078275
151,OPTIMAL,v1:upper,73.46271738398484
152,OPTIMAL,v2:upper,61.106084333421286
153,OPTIMAL,v2:upper,168.3048231045073
154,OPTIMAL,v2:upper,196.549471548391
155,OPTIMAL,v2:upper,52.498054586772355
156,OPTIMAL,v2:upper,54.7610619832322
157,OPTIMAL,v2:upper,72.69504139972821
158,OPTIMAL,v2:upper,275.51982062826636
159,OPTIMAL,v1:upper,205.35070754999145
160,OPTIMAL,v2:upper,189.45439823496451
161,OPTIMAL,v2:upper,149.21803932965562
162,OPTIMAL,v2:upper,211.54696259883124
163,OPTIMAL,v2:upper,108.11245842462257
164,OPTIMAL,v2:upper,36.744083052131884
165,OPTIMAL,v2:upper,115.08259852729935
166,OPTIMAL,v2:upper,169.72299768393185
167,OPTIMAL,v2:upper,14.279572716366141
168,OPTIMAL,v2:upper,217.71852341645618
169,OPTIMAL,v2:upper,38.85552516006821
170,OPTIMAL,v2:upper,65.4741250036744
171,OPTIMAL,v2:upper,71.78114177003626
172,OPTIMAL,v2:upper,52.881603101464165
173,OPTIMAL,v2:upper,88.43258082124467
174,OPTIMAL,v1:upper,208.18580119461714
175,OPTIMAL,v2:upper,169.561914136048
176,OPTIMAL,v2:upper,48.54562584038345
177,OPTIMAL,v2:upper,179.85023078645116
178,OPTIMAL,v2:upper,122.84620935359052
179,OPTIMAL,v2:upper,56.199990635058526
180,OPTIMAL,v2:upper,97.31890664694505
181,OPTIMAL,v2:upper,188.48254262816266
182,OPTIMAL,v2:upper,124.57668807780763
183,OPTIMAL,v1:upper,311.88080734884704
184,OPTIMAL,v2:upper,140.86553804814417
185,OPTIMAL,v2:upper,36.76943046915391
186,OPTIMAL,v1:upper,718.0714673636745
187,OPTIMAL,v2:upper,52.83121430488778
188,OPTIMAL,v1:upper,261.34661391483525
189,OPTIMAL,v2:upper,116.9695814880922
190,OPTIMAL,v2:upper,183.3019485231581
191,OPTIMAL,v1:upper,246.16697315192746
192,OPTIMAL,v2:upper,169.55057701963
193,OPTIMAL,v2:upper,229.6817365561001
194,OPTIMAL,v2:upper,32.340796911327594
195,OPTIMAL,v2:upper,42.368031360219476
196,OPTIMAL,v2:upper,93.20258595902078
197,OPTIMAL,v2:upper,72.99011753224279
198,OPTIMAL,v2:upper,321.8050595422147
199,OPTIMAL,v2:upper,238.28963695417917
200,OPTIMAL,v2:upper,75.13288986218477
201,OPTIMAL,v2:upper,166.6514731730565
202,OPTIMAL,v1:upper,90.60881943119661
203,OPTIMAL,v1:upper,32.273606414775486
204,OPTIMAL,v2:upper,174.9830066149684
205,OPTIMAL,v1:upper,432.2729027761985
206,OPTIMAL,v2:upper,60.017789369724134
207,OPTIMAL,v2:upper,265.47088555506764
208,OPTIMAL,v2:upper,34.03586328897953
209,OPTIMAL,v2:upper,71.36858021132842
