K,n,T_both,T_act
3.5,1.6,2.0719728389212086,4.4692585336777855
3.75,1.6,2.199088845985981,4.743448565839149
4.0,1.6,2.3186659559210447,5.001377149154007
4.25,1.6,2.4310000149837196,5.24368242587275
4.5,1.6,2.536435623493172,5.471107701065897
4.75,1.6,2.6353441892272613,5.684454103662112
5.0,1.6,2.728108011334263,5.884546255345019
5.25,1.6,2.8151089678623533,6.072207869482656
5.5,1.6,2.8967206799138823,6.248244849158634
5.75,1.6,2.97330327397016,6.413433989473526
6.0,1.6,3.0452000650632094,6.568515823125343
6.25,1.6,3.1127356433531603,6.71419049314485
6.5,1.6,3.1762149720258224,6.851115807054922
6.75,1.6,3.2359232016512633,6.979906836440826
7.0,1.6,3.2921259808971755,7.101136587160909
7.25,1.6,3.3450701005500476,7.215337388504355
7.5,1.6,3.3949843510807445,7.3230027429655635
7.75,1.6,3.442080506642153,7.424589448733304
8.0,1.6,3.486554372887983,7.52051985984251
3.0,1.7,1.762874123690515,3.8025306476535277
3.25,1.7,1.9137642152102525,4.1280015305262605
3.5,1.7,2.056721207705448,4.436360668569169
3.75,1.7,2.1916694815465942,4.72744494976257
4.0,1.7,2.318705859289001,5.001463220971364
4.25,1.7,2.438048541966383,5.258886143206965
4.5,1.7,2.5499974920544224,5.500360737428835
4.75,1.7,2.654904249927353,5.726645278450222
5.0,1.7,2.7531493448228983,5.938560570246475
5.25,1.7,2.8451257051941754,6.136954161979067
5.5,1.7,2.9312267335765596,6.322674625407902
5.75,1.7,3.011837957803264,6.496553546510454
6.0,1.7,3.087331389073075,6.6593933557981515
6.25,1.7,3.1580619029874817,6.811959522190547
6.5,1.7,3.2243651125709,6.95497596510647
6.75,1.7,3.2865563255063717,7.089122805214831
7.0,1.7,3.3449302754883923,7.215035784960965
7.25,1.7,3.3997613940152234,7.333306854824375
7.5,1.7,3.4513044481169572,7.444485548902203
7.75,1.7,3.499795414937884,7.549080871388934
8.0,1.7,3.5454524986965557,7.647563490165697
3.0,1.8,1.7315912309004786,3.735053249816213
3.25,1.8,1.890512044493119,4.077846451052251
3.5,1.8,2.0414924576185505,4.4035121582003995
3.75,1.8,2.184252712896775,4.711446932820525
4.0,1.8,2.3187457626565546,5.001549292787852
4.25,1.8,2.4450948442272815,5.274085061802244
4.5,1.8,2.5635433384415958,5.529579213860836
4.75,1.8,2.6744154242055864,5.768731004916825
5.0,1.8,2.7780858507214496,5.992348771372332
5.25,1.8,2.874957183281875,6.20130084911281
5.5,1.8,2.965443032947897,6.396479399815968
5.75,1.8,3.0499559858714167,6.578774374424038
6.0,1.8,3.1288991628588083,6.749055307069001
6.25,1.8,3.2026605411581257,6.908159067131656
6.5,1.8,3.271609347689764,7.056882079417312
6.75,1.8,3.3360939826433116,7.195975845341045
7.0,1.8,3.396441055216951,7.3261448630114865
7.25,1.8,3.452955211974239,7.448046256995308
7.5,1.8,3.5059195163023675,7.5622905968110965
7.75,1.8,3.555596198318055,7.669443514481101
8.0,1.8,3.602227641546816,7.770027832804676
3.0,1.9,1.7005349050087177,3.668064558213142
3.25,1.9,1.8673485977145343,4.027882749675509
3.5,1.9,2.0262878847721515,4.370715798292481
3.75,1.9,2.1768386914104894,4.695454841527618
4.0,1.9,2.318785666023682,5.001635364603423
4.25,1.9,2.4521387919206936,5.289278901580545
4.5,1.9,2.577072247661075,5.55876115671487
4.75,1.9,2.693875013657697,5.810705462586836
5.0,1.9,2.802911998653597,6.0458989296658485
5.25,1.9,2.9045941593297426,6.265227994115009
5.5,1.9,2.999356049787238,6.469629991882078
5.75,1.9,3.087639348756884,6.660057626786187
6.0,1.9,3.1698810932103747,6.8374535903426805
6.25,1.9,3.246505549168031,7.002733027043924
6.5,1.9,3.317918846337721,7.156771961241478
6.75,1.9,3.384505678930418,7.30040018078437
7.0,1.9,3.4466275252152063,7.434397396587964
7.25,1.9,3.5046219626096824,7.559491765279619
7.5,1.9,3.5588027553916937,7.676360078393466
7.75,1.9,3.6094604716018535,7.785629093033042
8.0,1.9,3.6568634477868267,7.8878776128286585
3.0,2.0,1.6697153712565371,3.6015866287545597
3.25,2.0,1.8442783155544944,3.9781200049709033
3.5,2.0,2.011108776884272,4.337974366461336
3.75,2.0,2.1694275682364244,4.679469001912523
4.0,2.0,2.3188255693903606,5.001721436418024
4.25,2.0,2.4591802553751516,5.304467382839693
4.5,2.0,2.5905833093662025,5.587904602367432
4.75,2.0,2.7132803493810695,5.852562894620414
5.0,2.0,2.827622361944379,6.09919933975477
5.25,2.0,2.934027653868391,6.328716228213339
5.5,2.0,3.032952799939795,6.542098394702133
5.75,2.0,3.1248710120379743,6.740366560241448
6.0,2.0,3.2102564612802187,6.924543514933817
6.25,2.0,3.2895732664538797,7.095630365942448
6.5,2.0,3.3632680676356332,7.25459051874094
6.75,2.0,3.4317653040092115,7.402339491336232
7.0,2.0,3.4954644946008386,7.5397390487977205
7.25,2.0,3.5547389741392603,7.6675944764993345
7.5,2.0,3.6099356629058126,7.786654083684683
7.75,2.0,3.6613755513665356,7.897610248821586
8.0,2.0,3.709354660840513,8.00110149176977
3.0,2.1,1.639142505631119,3.535640764007353
3.25,2.1,1.821305563181012,3.9285676326334795
3.5,2.1,1.9959564128540475,4.3052906213005
3.75,2.1,2.1620194942857274,4.663489739491541
4.0,2.1,2.3188654727565656,5.001807508231604
4.25,2.1,2.4662191051029483,5.319650226273881
4.5,2.1,2.6040756180975655,5.61700759773684
4.75,2.1,2.73262879337317,5.89429761082939
5.0,2.1,2.852211621962562,6.152238529317845
5.25,2.1,2.9632489600598437,6.391746770703152
5.5,2.1,3.0662208585529056,6.613857807790265
5.75,2.1,3.1616349356976174,6.81966657637143
6.0,2.1,3.2500061403263008,7.0102838243387176
6.25,2.1,3.331842385628318,7.186805123657786
6.5,2.1,3.407634736545133,7.350289704516888
6.75,2.1,3.4778510554483444,7.5017467490141545
7.0,2.1,3.54293222212065,7.6421272376326
7.25,2.1,3.6032902311536326,7.7723198453150975
7.5,2.1,3.6593076278124723,7.893149724620988
7.75,2.1,3.711337872401485,8.005379291664859
8.0,2.1,3.7597063259561487,8.109710352260484
3.0,2.2,1.6088258247305367,3.470247491333827
3.25,2.2,1.7984346272108147,3.879234878922662
3.5,2.2,1.9808320623428892,4.272667301477678
3.75,2.2,2.1546146202197916,4.647517379242252
4.0,2.2,2.318905376122275,5.001893580044115
4.25,2.2,2.473255211809605,5.334827152994101
4.5,2.2,2.617548273520444,5.646068200795396
4.75,2.2,2.751917739893133,5.935903990614216
5.0,2.2,2.8766745722543052,6.205005268001173
5.25,2.2,2.9922496522572906,6.454301447410925
5.5,2.2,3.0991483733098595,6.68488266562428
5.75,2.2,3.1979160892391945,6.897925254299753
6.0,2.2,3.2891126054752196,7.0946367172944855
6.25,2.2,3.3732939443490877,7.2762163982976125
6.5,2.2,3.4509997997929065,7.443828420538134
6.75,2.2,3.522745335588487,7.598583995555533
7.0,2.2,3.58901622662313,7.741530727157101
7.25,2.2,3.650266068518047,7.873647023970046
7.5,2.2,3.7069154761603476,7.995840154969274
7.75,2.2,3.759352353294372,8.108946830987609
8.0,2.2,3.8079329451896036,8.21373547532714
3.0,2.3,1.5787744766854455,3.4054265433097335
3.25,2.3,1.7756697128011723,3.830130814389311
3.5,2.3,1.9657369853623636,4.240107124845796
3.75,2.3,2.1472130964380773,4.631552245577242
4.0,2.3,2.318945279487463,5.0019796518555015
4.25,2.3,2.4802884464033172,5.349997884548512
4.5,2.3,2.631000380659313,5.675084481075229
4.75,2.3,2.7711446167851275,5.977376485818477
5.0,2.3,2.9010061224624017,6.257488575872026
5.25,2.3,3.0210215938083,6.51636270752584
5.5,2.3,3.1317240756800695,6.755148661912345
5.75,2.3,3.2337004625771093,6.97511237418307
6.0,2.3,3.327559935777402,7.177567852212076
6.25,2.3,3.413911304735559,7.363828301848056
6.5,2.3,3.493347363584292,7.535172383788954
6.75,2.3,3.5664346239368308,7.692822067171765
7.0,2.3,3.633707067141928,7.837929153147021
7.25,2.3,3.695662830215335,7.971568126411995
7.5,2.3,3.7527629793248853,8.094733509610263
7.75,2.3,3.805431725727425,8.208340329109024
8.0,2.3,3.8540576016513777,8.313226651385254
3.0,2.4,1.5489972331435922,3.341196840434806
3.25,2.4,1.7530149408764415,3.7812643278933566
3.5,2.4,1.9506724318690527,4.207612787569116
3.75,2.4,2.1398150730659875,4.6155946623179585
4.0,2.4,2.318985182852108,5.002065723665716
4.25,2.4,2.487318680004364,5.365162142942742
4.5,2.4,2.6444310501292625,5.704054520167454
4.75,2.4,2.7903068867621665,6.018709623498076
5.0,2.4,2.925201302026038,6.309677731399251
5.25,2.4,3.049556944093594,6.577913638782466
5.5,2.4,3.1639372901951393,6.824632769601529
5.75,2.4,3.268975072796231,7.051199931791233
6.0,2.4,3.3653338088787352,7.259046335682976
6.25,2.4,3.453680121137599,7.4496098906509385
6.5,2.4,3.5346646147571064,7.62429395619738
6.75,2.4,3.608909328078428,7.784440272963068
7.0,2.4,3.6770000974180728,7.931312493592339
7.25,2.4,3.739482500389075,8.066087432451209
7.5,2.4,3.7968603350946837,8.189851785238533
7.75,2.4,3.8495958411302027,8.303602605688367
8.0,2.4,3.898111070382565,8.40825026239334
3.0,2.5,1.5195024823183856,3.2775764761384822
3.25,2.5,1.7304743454925364,3.732644120918951
3.5,2.5,1.9356396413666737,4.175186963265006
3.75,2.5,2.132420699942784,4.599644952668636
4.0,2.5,2.3190250862161856,5.002151795474706
4.25,2.5,2.4943457839544876,5.3803196506601125
4.5,2.5,2.657839398364214,5.732976412214448
4.75,2.5,2.8094020486491456,6.059898008602474
5.0,2.5,2.949255263656707,6.361562278950848
5.25,2.5,3.077848164796733,6.638937980984508
5.5,2.5,3.1957779417708116,6.893313256671297
5.75,2.5,3.303727966898982,7.126162144432779
6.0,2.5,3.402421488679059,7.339044695858492
6.25,2.5,3.4925882971301654,7.53353507264085
6.5,2.5,3.5749417271040143,7.711171942571969
6.75,2.5,3.6501636161202105,7.873426033499164
7.0,2.5,3.718895199637877,8.021680494368185
7.25,2.5,3.781732313586623,8.157220547052146
7.5,2.5,3.8392236312121164,8.281229683216255
7.75,2.5,3.8918709671816316,8.394790320275408
8.0,2.5,3.9401309313232216,8.498887368520059
3.0,2.6,1.4902982230980293,3.2145827040732695
3.25,2.6,1.7080518713421549,3.6842787021932217
3.5,2.6,1.9206398425157003,4.142832302161887
3.75,2.6,2.1250301266095555,4.5837034391903515
4.0,2.6,2.319064989579671,5.002237867282421
4.25,2.6,2.501369629826235,5.395470130681796
4.5,2.6,2.671224547841819,5.761848264394946
4.75,2.6,2.828427638583938,6.100936326565463
5.0,2.6,2.9731632865865985,6.413132035800757
5.25,2.6,3.1058880254032637,6.6994201378665075
5.5,2.6,3.227236561104596,6.961169697776209
5.75,2.6,3.337948220681268,7.199975448530304
6.0,2.6,3.438811806387173,7.417538841585283
6.25,2.6,3.530625932659596,7.615582493339349
6.5,2.6,3.6141717546374243,7.795791360373505
6.75,2.6,3.6901952336768837,7.9597744860566975
7.0,2.6,3.7593965020277587,8.109042060085084
7.25,2.6,3.822424350826068,8.24499352904732
7.5,2.6,3.87987430022377,8.368913433682133
7.75,2.6,3.9322890853458903,8.481972457090901
8.0,2.6,3.9801606977967015,8.585231828279424
3.0,2.7,1.4613920602071295,3.1522319276782964
3.25,2.7,1.6857513714032237,3.6361763826139546
3.5,2.7,1.9056742527507435,4.110551430273924
3.75,2.7,2.1176435022972395,4.5677704437751805
4.0,2.7,2.319104892942542,5.002323939088809
4.25,2.7,2.508390089432265,5.410613306506883
4.5,2.7,2.6845856273049167,5.790668197401734
4.75,2.7,2.8473812311754774,6.141819345803153
5.0,2.7,2.9969207795864694,6.464377098638428
5.25,2.7,3.1336696079309982,6.759345187297077
5.5,2.7,3.258304288188169,7.028182981822213
5.75,2.7,3.371625933898512,7.2726184891935635
6.0,2.7,3.474495135414652,7.494508008251159
6.25,2.7,3.5677852623046253,7.695735402683597
6.5,2.7,3.652350513586721,7.878143185182276
6.75,2.7,3.7290053083518733,8.0434880628834
7.0,2.7,3.7985120847394476,8.19341461968148
7.25,2.7,3.861575127643072,8.329442002551739
7.5,2.7,3.9188385736354467,8.452959618160284
7.75,2.7,3.970887199226152,8.565228833141198
8.0,2.7,4.018248971843098,8.66738847657967
3.0,2.8,1.4327912004083143,3.0905396919861867
3.25,2.8,1.6635766047326406,3.5883452704906817
3.5,2.8,1.8907440779059206,4.078346948592944
3.75,2.8,2.110260975914694,4.551846287620474
4.0,2.8,2.319144796304774,5.002410010893819
4.25,2.8,2.5154070348346185,5.425748902172387
4.5,2.8,2.6979217719794324,5.81943434591166
4.75,2.8,2.866260440617838,6.182541920117057
5.0,2.8,3.020523283750703,6.515287849576209
5.25,2.8,3.1611863108960874,6.818698889833753
5.5,2.8,3.2889728739822512,7.094335315579347
5.75,2.8,3.404752221900677,7.344072102176167
6.0,2.8,3.509463360576525,7.569934691350747
6.25,2.8,3.604060585637387,7.773981504814587
6.5,2.8,3.6894764549061887,7.958224075696866
6.75,2.8,3.7665981445673236,8.12457604864509
7.0,2.8,3.8362536781924996,8.274823475746636
7.25,2.8,3.8992051797369096,8.410610263198768
7.5,2.8,3.9561469424412827,8.533434005918135
7.75,2.8,4.00770666208275,8.644648647670698
8.0,2.8,4.0544486356686225,8.745471380674461
3.0,2.9,1.4045024497272343,3.0295206776373655
3.25,2.9,1.6415312344070214,3.5407932671028575
3.5,2.9,1.8758505118484459,4.046221432298088
3.75,2.9,2.1028826960368274,4.535931291203249
4.0,2.9,2.3191846996663448,5.002496082697403
4.25,2.9,2.5224203383539487,5.4408766422731505
4.5,2.9,2.7112321237886294,5.848144859047769
4.75,2.9,2.8850629217593977,6.223098991000277
5.0,2.9,3.0439664750479074,6.565854961651009
5.25,2.9,3.188431852522453,6.877467695645757
5.5,2.9,3.3192346803096178,7.1596102234509695
5.75,2.9,3.4373192039303415,7.414319288634456
6.0,2.9,3.5437098420861313,7.64380456882218
6.25,2.9,3.6394481906779594,7.850312792968124
6.5,2.9,3.7255505290360755,8.036036082022907
6.75,2.9,3.8029810114616143,8.203054122919283
7.0,2.9,3.872636357728683,8.353301145888206
7.25,2.9,3.9353386512519815,8.488550390060768
7.5,2.9,3.9918336301409805,8.610410417261253
7.75,2.9,4.042792530435591,8.720329087878143
8.0,2.9,4.0888160864957594,8.819602189729808
3.0,3.0,1.3765322116804037,2.969188697057503
3.25,3.0,1.6196188256117734,3.493528062577982
3.5,3.0,1.8609947361206565,4.014177429983659
3.75,3.0,2.0955088108927837,4.520025774254709
4.0,3.0,2.3192246030272288,5.002582154499505
4.25,3.0,2.529429872578712,5.455996251981663
4.5,3.0,2.7245158315635747,5.876797900833282
4.75,3.0,2.903786371126273,6.263485589845057
5.0,3.0,3.067246166636116,6.616069403818195
5.25,3.0,3.215400273204898,6.935638749826943
5.5,3.0,3.349082678029101,7.223992543535074
5.75,3.0,3.4693199882905192,7.483345183134391
6.0,3.0,3.577229374844329,7.716106413233648
6.25,3.0,3.6739462714314066,7.924725371601696
6.5,3.0,3.760576044601789,8.111586340886353
6.75,3.0,3.838163926407596,8.278943893242653
7.0,3.0,3.9076782380873287,8.428886703713633
7.25,3.0,3.9700028901223336,8.563321372804648
7.5,3.0,4.025936083403178,8.683969624891013
7.75,3.0,4.076192949293501,8.79237400285244
8.0,3.0,4.121410520247648,8.889908589726764
