K,n,T_both,T_act
3.0,1.0,1.9872716157743553,4.286557459005823
3.25,1.0,2.0786263239761693,4.483610143072464
3.5,1.0,2.163889599982263,4.667523569320832
3.75,1.0,2.2436510419825337,4.839569504779985
4.0,1.0,2.3184265357061933,5.0008607182345175
4.25,1.0,2.3886694248407436,5.152375074889031
4.5,1.0,2.4547797098811692,5.294975378344084
4.75,1.0,2.5171116697853675,5.429425810555224
5.0,1.0,2.575980213159299,5.55640563137957
5.25,1.0,2.6316661993668964,5.676520656243577
5.5,1.0,2.684420919342927,5.790312921284761
5.75,1.0,2.734469886952669,5.898268861338522
6.0,1.0,2.782016061569316,6.00082626105802
6.25,1.0,2.8272425989913326,6.098380188660317
6.5,1.0,2.870315209320074,6.191288081883345
6.75,1.0,2.9113841857890783,6.2798741241835305
7.0,1.0,2.9505861569001866,6.364433024104502
7.25,1.0,2.9880456049129145,6.445233290668282
7.5,1.0,3.023876186246279,6.522520081490381
7.75,1.0,3.0581818832989303,6.596517687263126
8.0,1.0,3.09105801227525,6.667431705642928
3.0,1.1,1.954715796609125,4.216334350916804
3.25,1.1,2.0548830728221796,4.432395799986541
3.5,1.1,2.148528315311024,4.634389181014404
3.75,1.1,2.2362192927206364,4.823539174562827
4.0,1.1,2.3184664390760643,5.000946790056005
4.25,1.1,2.3957285648393163,5.167601684565764
4.5,1.1,2.4684182673158217,5.32439383309256
4.75,1.1,2.5369069152203063,5.472124280305634
5.0,1.1,2.601529163564266,5.61151487918388
5.25,1.1,2.6625869996245375,5.7432170181956765
5.5,1.1,2.720353344129193,5.86781938907966
5.75,1.1,2.775075242914478,5.985854871268955
6.0,1.1,2.8269766884047063,6.097806617841169
6.25,1.1,2.876261110435406,6.2041134282396895
6.5,1.1,2.9231135740059155,6.305174488839958
6.75,1.1,2.967702718588098,6.4013535560506405
7.0,1.1,3.0101824702606477,6.492982649398169
7.25,1.1,3.050693554540658,6.580365314714016
7.5,1.1,3.0893648345403557,6.663779510547238
7.75,1.1,3.1263144960839497,6.743480164469031
8.0,1.1,3.161651098717151,6.819701440106911
3.0,1.2,1.9223062542707214,4.146426762869503
3.25,1.2,2.031195627365785,4.381301830143704
3.5,1.2,2.1331819833841488,4.601287045872252
3.75,1.2,2.228789226964807,4.807512475678919
4.0,1.2,2.3185063424456755,5.001032861876933
4.25,1.2,2.4027862623144673,5.182825182710343
4.5,1.2,2.482046376346709,5.3537897505679535
4.75,1.2,2.556670001623719,5.514753382821404
5.0,1.2,2.6270083786483704,5.666473707459511
5.25,1.2,2.693382916632786,5.809644006188051
5.5,1.2,2.7560875135504435,5.944898218796832
5.75,1.2,2.81539084343218,6.072815876871662
6.0,1.2,2.8715385470756423,6.193926829168513
6.25,1.2,2.9247552907990904,6.308715682358498
6.5,1.2,2.9752466762746845,6.417625920550377
6.75,1.2,3.023200996214743,6.521063692316926
7.0,1.2,3.0687908379996043,6.619401269730392
7.25,1.2,3.112174541720236,6.71298019336963
7.5,1.2,3.153497521561081,6.802114122551273
7.75,1.2,3.1928934606384507,6.887091412603712
8.0,1.2,3.230485389787246,6.968177441816884
3.0,1.3,1.890055289865925,4.076861228429137
3.25,1.3,2.0075688616719716,4.33033874693299
3.5,1.3,2.117851941421431,4.568220048285938
3.75,1.3,2.221360997181207,4.791489736998734
4.0,1.3,2.318546245815003,5.0011189336972475
4.25,1.3,2.409842386575906,5.198045287422984
4.5,1.3,2.495663099285489,5.383161108170573
4.75,1.3,2.5763980848180563,5.557306983193552
5.0,1.3,2.65241180781491,5.721269065031066
5.25,1.3,2.7240433625318907,5.875778782140175
5.5,1.3,2.791607062375986,6.021514110530043
5.75,1.3,2.85539347809367,6.159101813140761
6.0,1.3,2.9156707360849903,6.289120240315062
6.25,1.3,2.972685948634992,6.412102414816548
6.5,1.3,3.026666689956569,6.528539215663475
6.75,1.3,3.0778224613145997,6.638882538410788
7.0,1.3,3.12634610895256,6.743548353626803
7.25,1.3,3.1724151727200063,6.842919615891228
7.5,1.3,3.2161931530588594,6.937348996692602
7.75,1.3,3.2578306906539694,7.027161428942035
8.0,1.3,3.297466657510379,7.112656460433765
3.0,1.4,1.8579749541998325,4.00766374125861
3.25,1.4,1.984007598865217,4.279516953864438
3.5,1.4,2.102539520919043,4.535191060301138
3.75,1.4,2.2139347556850195,4.77547128706709
4.0,1.4,2.3185861491840227,5.001205005516899
4.25,1.4,2.416896807050064,5.213261717055669
4.5,1.4,2.509267501597367,5.412505890102947
4.75,1.4,2.596088341050136,5.599778990568582
5.0,1.4,2.677733474135694,5.775888059626588
5.25,1.4,2.7545579423527218,5.941598924037811
5.5,1.4,2.8268960380433144,6.097632654500952
5.75,1.4,2.8950607048783947,6.244664272495811
6.0,1.4,2.959343647062945,6.38332298583966
6.25,1.4,3.0200159078387854,6.514193436521403
6.5,1.4,3.0773287463694814,6.637817592147871
6.75,1.4,3.1315146918409433,6.754697019645492
7.0,1.4,3.182788689693507,6.865295357690144
7.25,1.4,3.2313492810209565,6.9700408606783215
7.5,1.4,3.27737977502746,7.069328927724161
7.75,1.4,3.3210493879923453,7.163524559413686
8.0,1.4,3.362514331891142,7.252964705967274
3.0,1.5,1.8260770308419423,3.938859718591944
3.25,1.5,1.9605166073021356,4.228846736313461
3.5,1.5,2.0872460471919987,4.502202940630729
3.75,1.5,2.206510654627987,4.759457454076256
4.0,1.5,2.318626052552711,5.001291077335836
4.25,1.5,2.42394939328974,5.228474190232962
4.5,1.5,2.522858652155461,5.4418220879184975
4.75,1.5,2.6157379685774185,5.642163361570097
5.0,1.5,2.702967479788576,5.830317969606361
5.25,1.5,2.7849164673725797,6.007082454741579
5.5,1.5,2.861938927100197,6.1732203880948635
5.75,1.5,2.9343708950456495,6.329456601606155
6.0,1.5,3.0025290324653753,6.476474135610748
6.25,1.5,3.0667101002503943,6.61491310522972
6.5,1.5,3.1271910504430185,6.745370897772051
6.75,1.5,3.1842295348336433,6.868403269781123
7.0,1.5,3.238064684851678,6.984526029264398
7.25,1.5,3.2889180573233645,7.094217075699019
7.5,1.5,3.336994670616301,7.197918635002109
7.75,1.5,3.3824840778295626,7.296039574408663
8.0,1.5,3.425561439987442,7.388957717357232
3.0,1.6,1.7943730200639099,3.870473966587922
3.25,1.6,1.9371005968404538,4.1783382534729965
