t,V,X,Glc,Gln,Lac,Amm,mAb
0.0,1.0,0.2,5.0,4.0,0.0,0.0,0.0
1.0,1.0050000000000001,0.2046844816723609,7.38155066611213,4.783899973281156,0.09979715829400454,0.018120351234954753,1.5771008835209515
2.0,1.01,0.20949028087883864,9.737125348022039,5.559239802475997,0.2015536437135356,0.036596461053677205,3.184043749321459
3.0,1.015,0.21440530170584982,12.067254468192582,6.326194839151263,0.3050602553416212,0.05539034446582283,4.820166225594972
4.0,1.02,0.21942396229359024,14.372368304833962,7.084907082003504,0.4102222791634854,0.07448480407575482,6.485414200512848
5.0,1.0250000000000001,0.22454330476434242,16.65285273418023,7.835503756921106,0.5169911371881052,0.09387101948943917,8.179973995464692
6.0,1.03,0.22976164135046026,18.909068734474516,8.578103817640935,0.6253406020554172,0.11354422855748775,9.904146315423525
7.0,1.0350000000000001,0.23507796537958225,21.14136096254817,9.312820803938115,0.7352564517803655,0.13350184896825074,11.658292201782453
8.0,1.04,0.24049167027250437,23.350061914611416,10.03976422794994,0.846731536560213,0.1537425825190632,13.442807562293433
9.0,1.0450000000000002,0.24600238033405875,25.535494506280752,10.759040433510355,0.9597628107229114,0.17426587620172115,15.258107969212134
10.0,1.05,0.25160986837118066,27.697973376555762,11.470753030281571,1.0743498893638133,0.195071660128389,17.104621303815055
11.0,1.0550000000000002,0.25731399010969197,29.837805983114794,12.17500325819483,1.1904939013805813,0.216160139275065,18.9827819308591
11.076227631129036,1.0553811381556453,0.2577527630070081,29.999999999999996,12.22838330883616,1.1994112075506114,0.21777927074767214,19.127260248652114
11.076227631129036,1.0553811381556453,0.2577527630070081,29.999999999999996,12.22838330883616,1.1994112075506114,0.21777927074767214,19.127260248652114
12.0,1.0553811381556453,0.26426381151789685,29.906935077331838,12.197361667946772,1.3138810624324464,0.23856377014356087,20.984227924168646
13.0,1.0553811381556453,0.2714531427467795,29.80416410187934,12.163104676129274,1.4402893622390185,0.26151595466128535,23.042855891089758
14.0,1.0553811381556453,0.2787899325885263,29.699272076644935,12.128140667717805,1.5693065532773374,0.2849418402969693,25.15264612934302
15.0,1.0553811381556453,0.28627498221074343,29.592245510061392,12.092465145523292,1.700949230175093,0.3088444401672935,27.314432421928256
16.0,1.0553811381556453,0.29390900102689416,29.483072050249852,12.056073992252777,1.8352325857432876,0.3332265128585375,29.529044436797506
17.0,1.0553811381556453,0.3016926027472895,29.37174052775359,12.018963484754025,1.9721703584136892,0.3580905528827026,31.797306716369157
