t,biomass,S1,S2
0.0,0.004,0.5,2.5
0.01,0.00403821378501575,0.4999241310719276,2.4999986479779333
0.02,0.004076814433413208,0.4998474800087563,2.499997295378844
0.03,0.004115805873419299,0.4997700388625809,2.4999959422025997
0.04,0.004155192074158561,0.49969179960280574,2.499994588449061
0.05,0.0041949770464374805,0.4996127541145574,2.4999932341180817
0.06,0.004235164842926665,0.4995328941983166,2.499991879209507
0.07,0.004275759558625021,0.4994522115689788,2.4999905237231754
0.08,0.0043167653310140315,0.4993706978555437,2.4999891676589203
0.09,0.004358186341064976,0.4992883445990769,2.4999878110165676
0.1,0.00440002681363815,0.4992051432519014,2.4999864537959366
0.11,0.004442291017482874,0.49912108517759796,2.4999850959968395
0.12,0.004484983265965817,0.4990361616495312,2.499983737619081
0.13,0.004528107917135674,0.498950363850723,2.499982378662462
0.14,0.004571669374552691,0.49886368287217314,2.4999810191267757
0.15,0.00461567208832858,0.49877610971075276,2.499979659011809
0.16,0.00466012055512658,0.49868763526920445,2.499978298317343
0.17,0.004705019318161464,0.4985982503561421,2.499976937043152
0.18,0.004750372967881508,0.49850794568467094,2.499975575189006
0.19,0.0047961861429451766,0.49841671187041814,2.4999742127546667
0.2,0.004842463529385791,0.49832453943322463,2.4999728497398914
0.21,0.004889209863068456,0.4982314187921674,2.4999714861444295
0.22,0.004936429929804576,0.4981373402653276,2.4999701219680266
0.23,0.004984128565351855,0.49804229406979006,2.4999687572104223
0.24,0.0050323106554142905,0.49794627032164396,2.4999673918713516
0.25,0.00508098113590898,0.4978492590354425,2.4999660259505445
0.26,0.005130144995796978,0.4977512501184803,2.4999646594477256
0.27,0.0051798072738979605,0.49765223337725173,2.4999632923626103
0.28,0.0052299730621439815,0.4975521985108536,2.4999619246949067
0.29,0.005280647506658026,0.49745113510880057,2.4999605564443206
0.3,0.005331835807754009,0.49734903265102526,2.499959187610553
0.31,0.0053835432199367764,0.49724588050787805,2.4999578181933
0.32,0.005435775051902104,0.4971416679401272,2.499956448192255
0.33,0.0054885366665366935,0.4970363840989589,2.4999550776071064
0.34,0.005541833483836318,0.4969300180200742,2.499953706437541
0.35,0.005595670980331708,0.49682255862487423,2.499952334683232
0.36,0.005650054687159638,0.49671399472435335,2.499950962343844
0.37,0.005704990194858279,0.49660431500938446,2.499949589419037
0.38,0.005760483153395326,0.4964935080506619,2.499948215908469
0.39,0.0058165392721680025,0.4963815622987015,2.499946841811796
0.4,0.005873164320003053,0.49626846608384056,2.499945467128669
0.41,0.005930364125156753,0.49615420761623796,2.4999440918587377
0.42,0.0059881445753149,0.496038774985874,2.499942716001649
0.43,0.006046511618759831,0.4959221561601892,2.4999413395570476
0.44,0.00610547127028475,0.49580433897213777,2.4999399625245693
0.45,0.0061650296014909185,0.4956853111398352,2.4999385849038323
0.46,0.006225192748230123,0.4955650602514708,2.4999372066944483
0.47,0.0062859669121952295,0.4954435737620868,2.499935827896029
0.48,0.0063473583609201835,0.4953208389935786,2.499934448508183
0.49,0.006409373427780016,0.4951968431346945,2.499933068530519
0.5,0.006472018511990833,0.49507157324103584,2.499931687962643
0.51,0.006535300078609825,0.494945016235057,2.499930306804159
0.52,0.006599224658535264,0.4948171589060653,2.499928925054671
