reaction,reference,naive,expression_only,activity_only,both_controls
r0,2.663081099128929,10.0,4.636055003996753,6.09919933975477,2.827622361944379
r1,2.6630812245001954,10.0,4.636055003996753,6.09919933975477,2.827622361944379
r2,2.6630789791731795,10.0,4.636055003996753,6.09919933975477,2.827622361944379
r3,2.663082976509066,10.0,4.636055003996753,6.09919933975477,2.827622361944379
