reaction,nominal,mean,std,cv,q025,q50,q975
v1,118.07999999999998,156.04676250298445,157.2191984265717,1.0075133626919355,17.060725222471447,105.06709989875603,613.5765361248797
v2,118.07999999999998,156.04676250298445,157.2191984265717,1.0075133626919355,17.060725222471447,105.06709989875603,613.5765361248797
v3,118.07999999999998,156.04172201526268,157.22177306463496,1.007562407246806,17.060725222471447,105.05381342754373,613.5765361248797
v4,118.07999999999998,156.04172201526268,157.22177306463496,1.007562407246806,17.060725222471447,105.05381342754373,613.5765361248797
v5,-0.0,0.00252024386087936,0.21395733719963742,84.89548988523866,0.0,0.0,0.0
b1,-118.07999999999998,-156.04172201526268,157.22177306463496,1.007562407246806,-613.5765361248798,-105.05381342754373,-17.06072522247147
b2,-118.07999999999998,-156.04676250298445,157.2191984265717,1.0075133626919355,-613.5765361248798,-105.06709989875603,-17.06072522247147
b3,118.07999999999998,156.04676250298445,157.2191984265717,1.0075133626919355,17.060725222471447,105.06709989875603,613.5765361248797
b4,118.07999999999998,156.04172201526268,157.22177306463496,1.007562407246806,17.060725222471447,105.05381342754373,613.5765361248797
b5,-118.07999999999998,-156.04676250298445,157.2191984265717,1.0075133626919355,-613.5765361248798,-105.06709989875603,-17.06072522247147
b6,118.07999999999998,156.04676250298445,157.2191984265717,1.0075133626919355,17.060725222471447,105.06709989875603,613.5765361248797
b7,118.07999999999998,156.04676250298445,157.2191984265717,1.0075133626919355,17.060725222471447,105.06709989875603,613.5765361248797
b8,118.07999999999998,156.04172201526268,157.22177306463496,1.007562407246806,17.060725222471447,105.05381342754373,613.5765361248797
b9,-0.0,-0.01008097544351744,0.8558293487985497,84.89548988524427,0.0,0.0,0.0
b10,-0.0,-0.0075607315826380795,0.6418720115989119,84.89548988524362,0.0,0.0,0.0
b11,-0.0,-0.0075607315826380795,0.6418720115989119,84.89548988524362,0.0,0.0,0.0
b12,-0.0,0.00504048772175872,0.42791467439927483,84.89548988524241,0.0,0.0,0.0
b13,-0.0,0.0075607315826380795,0.6418720115989119,84.89548988524362,0.0,0.0,0.0
b14,-118.07999999999998,-156.03164103981916,157.23041606122743,1.0076828969651248,-613.5765361248798,-105.05381342754373,-16.99417390148217
