reaction,enzyme,ec_number,reaction_equation,equilibrator_query,dg_prime_standard_kj_per_mol,ci95_kj_per_mol,ph,pmg,ionic_strength_M,temperature_K,oxygen_phase,water_phase,reversibility_threshold_kj_per_mol,delta,source_url,access_date
v1,argininosuccinate synthetase,6.3.4.5,"ATP + L-Citrulline + L-Aspartate = AMP + Diphosphate + N-(L-Arginino)succinate","C00002 + C00327 + C00049 = C00020 + C00013 + C03406",-4.3,2.9,7.5,3.0,0.25,298.15,not applicable,not present,-10,1,https://equilibrator.weizmann.ac.il/search?query=C00002%20%2B%20C00327%20%2B%20C00049%20%3D%20C00020%20%2B%20C00013%20%2B%20C03406,2026-07-22
v2,argininosuccinate lyase,4.3.2.1,"N-(L-Arginino)succinate = Fumarate + L-Arginine","C03406 = C00122 + C00062",11.6,5.7,7.5,3.0,0.25,298.15,not applicable,not present,-10,1,https://equilibrator.weizmann.ac.il/search?query=C03406%20%3D%20C00122%20%2B%20C00062,2026-07-22
v3,arginase I,3.5.3.1,"L-Arginine + H2O = L-Ornithine + Urea","C00062 + C00001 = C00077 + C00086",-33.9,12.4,7.5,3.0,0.25,298.15,not applicable,liquid,-10,0,https://equilibrator.weizmann.ac.il/search?query=C00062%20%2B%20C00001%20%3D%20C00077%20%2B%20C00086,2026-07-22
v4,ornithine transcarbamylase,2.1.3.3,"Carbamoyl phosphate + L-Ornithine = Orthophosphate + L-Citrulline","C00169 + C00077 = C00009 + C00327",-30.3,5.7,7.5,3.0,0.25,298.15,not applicable,not present,-10,0,https://equilibrator.weizmann.ac.il/search?query=C00169%20%2B%20C00077%20%3D%20C00009%20%2B%20C00327,2026-07-22
v5,nitric oxide synthase,1.14.13.39,"2 L-Arginine + 4 Oxygen + 3 NADPH + 3 H+ = 2 Nitric oxide + 2 L-Citrulline + 3 NADP+ + 4 H2O","2 C00062 + 4 C00007 + 3 C00005 + 3 C00080 = 2 C00533 + 2 C00327 + 3 C00006 + 4 C00001",-1254.4,29.6,7.5,3.0,0.25,298.15,aqueous,liquid,-10,0,https://equilibrator.weizmann.ac.il/search?query=2%20C00062%20%2B%204%20C00007%20%2B%203%20C00005%20%2B%203%20C00080%20%3D%202%20C00533%20%2B%202%20C00327%20%2B%203%20C00006%20%2B%204%20C00001,2026-07-22
