draw,status,binding_bounds,urea_export
1,OPTIMAL,v2:upper,27.702205412613996
2,OPTIMAL,v2:upper,85.0667908978025
3,OPTIMAL,v2:upper,100.04108618423712
4,OPTIMAL,v1:upper,189.37608687825386
5,OPTIMAL,v2:upper,15.78085073209327
6,OPTIMAL,v2:upper,93.41928864828866
7,OPTIMAL,v2:upper,431.7091959573824
8,OPTIMAL,v2:upper,83.11993504434022
9,OPTIMAL,v2:upper,120.44861551419315
10,OPTIMAL,v2:upper,56.78695684777965
11,OPTIMAL,v2:upper,94.63280902310163
12,OPTIMAL,v2:upper,52.518256309926265
13,OPTIMAL,v2:upper,26.597269380096403
14,OPTIMAL,v2:upper,169.20296712731806
15,OPTIMAL,v2:upper,27.68331127715052
16,OPTIMAL,v2:upper,225.57334531452082
17,OPTIMAL,v2:upper,34.71552866019318
18,OPTIMAL,v1:upper,52.66629451865207
19,OPTIMAL,v2:upper,152.0318550925961
20,OPTIMAL,v2:upper,166.49519860642982
21,OPTIMAL,v1:upper,306.9084981140419
22,OPTIMAL,v2:upper,285.9278487475513
23,OPTIMAL,v2:upper,18.659937217143504
24,OPTIMAL,v2:upper,522.2480903287129
25,OPTIMAL,v2:upper,38.88175971655795
26,OPTIMAL,v2:upper,183.9173890598465
27,OPTIMAL,v2:upper,234.68176678175772
28,OPTIMAL,v2:upper,205.71428719889678
29,OPTIMAL,v2:upper,24.129727027076253
30,OPTIMAL,v2:upper,130.51074209349264
31,OPTIMAL,v2:upper,95.71084064983675
32,OPTIMAL,v3:upper,46.674953062689696
33,OPTIMAL,v1:upper,142.73587802415167
34,OPTIMAL,v2:upper,127.41636642872636
35,OPTIMAL,v1:upper,161.17366085284013
36,OPTIMAL,v2:upper,48.66899179817052
37,OPTIMAL,v2:upper,159.81779484911104
38,OPTIMAL,v2:upper,833.4964371181438
39,OPTIMAL,v2:upper,34.58256518995036
40,OPTIMAL,v2:upper,40.42557735578544
41,OPTIMAL,v2:upper,406.22938781698474
42,OPTIMAL,v2:upper,166.49072622459792
43,OPTIMAL,v1:upper,144.49690857707796
44,OPTIMAL,v2:upper,96.67701633576404
45,OPTIMAL,v2:upper,89.46273768936388
46,OPTIMAL,v2:upper,137.52285440428716
47,OPTIMAL,v2:upper,557.9259123829634
48,OPTIMAL,v3:upper,205.73599077942058
49,OPTIMAL,v2:upper,111.84698506379615
50,OPTIMAL,v1:upper,212.31199819958456
51,OPTIMAL,v2:upper,170.9135204109528
52,OPTIMAL,v2:upper,82.84816921096184
53,OPTIMAL,v2:upper,58.08193465715238
54,OPTIMAL,v2:upper,706.0328067327636
55,OPTIMAL,v3:upper,258.09765314419315
56,OPTIMAL,v1:upper,128.4798478702315
57,OPTIMAL,v1:upper,41.577643157867584
